dist,tsne,gbm,rf
NB-FOXR2,NB-FOXR2,HGNET-BCOR,NB-FOXR2
Diffuse Glioma,Ganglioglioma,MPE,Diffuse Glioma
AT/RT-MYC,AT/RT-MYC,AT/RT-MYC,Diffuse Glioma
Midline,Diffuse Glioma,Diffuse Glioma,Diffuse Glioma
Midline,Midline,Midline,Diffuse Glioma
Diffuse Glioma,PXA,Diffuse Glioma,Diffuse Glioma
Midline,Midline,Midline,Diffuse Glioma
G34 Mutant,G34 Mutant,G34 Mutant,Diffuse Glioma
Midline,Midline,Midline,Diffuse Glioma
Midline,Diffuse Glioma,Diffuse Glioma,Diffuse Glioma
Midline,Midline,G34 Mutant,Midline
IDH Mutant,IDH Mutant,G34 Mutant,IDH Mutant
Midline,Midline,Midline,Diffuse Glioma
PA,Midline,Midline,Midline
DIG,DIG,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Midline,Midline,Midline
CNS,Ganglioglioma,Diffuse Glioma,CNS
PA,PA,PA,Midline
Midline,Diffuse Glioma,Diffuse Glioma,Diffuse Glioma
DIG,DIG,Diffuse Glioma,Diffuse Glioma
PA,IDH Mutant,PA,IDH Mutant
Diffuse Glioma,HGNET-BCOR,Diffuse Glioma,Diffuse Glioma
IDH Mutant,IDH Mutant,CNS,Diffuse Glioma
G34 Mutant,G34 Mutant,G34 Mutant,Diffuse Glioma
PA,Diffuse Glioma,ETMR,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,Midline,Diffuse Glioma
Midline,Midline,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Midline,Midline,Diffuse Glioma
Midline,Diffuse Glioma,Diffuse Glioma,Midline
PXA,PXA,G34 Mutant,Diffuse Glioma
Diffuse Glioma,PXA,PA,Diffuse Glioma
IDH Mutant,IDH Mutant,CNS,IDH Mutant
Midline,Angiocentric,Midline,Diffuse Glioma
Diffuse Glioma,PXA,PFA,Diffuse Glioma
Diffuse Glioma,Angiocentric,Diffuse Glioma,Diffuse Glioma
IDH Mutant,IDH Mutant,Diffuse Glioma,Diffuse Glioma
Midline,Midline,PA,Midline
IDH Mutant,Angiocentric,SE,Diffuse Glioma
Midline,Midline,PA,Midline
Diffuse Glioma,Diffuse Glioma,Midline,Diffuse Glioma
Midline,Midline,G34 Mutant,Midline
CNS,IDH Mutant,CNS,CNS
PA,PA,PA,Diffuse Glioma
PA,PA,Diffuse Glioma,PA
Diffuse Glioma,Diffuse Glioma,MB-GP3,Diffuse Glioma
Diffuse Glioma,IDH Mutant,IDH Mutant,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,IDH Mutant,Diffuse Glioma
Diffuse Glioma,IDH Mutant,IDH Mutant,Diffuse Glioma
Diffuse Glioma,IDH Mutant,IDH Mutant,IDH Mutant
PA,Ganglioglioma,PA,PA
Diffuse Glioma,Diffuse Glioma,MB-GP3,Diffuse Glioma
Diffuse Glioma,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
PXA,PXA,PXA,Diffuse Glioma
Midline,Midline,Midline,Diffuse Glioma
Diffuse Glioma,Midline,Diffuse Glioma,Diffuse Glioma
Midline,Midline,Diffuse Glioma,Midline
Diffuse Glioma,G34 Mutant,Midline,Diffuse Glioma
Diffuse Glioma,Midline,PXA,Diffuse Glioma
PXA,G34 Mutant,PXA,Diffuse Glioma
Midline,Midline,Midline,Diffuse Glioma
IDH Mutant,Midline,CNS,Diffuse Glioma
Diffuse Glioma,G34 Mutant,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,G34 Mutant,Diffuse Glioma,Diffuse Glioma
ETMR,ETMR,Lung,MB-SHH
Diffuse Glioma,Midline,Diffuse Glioma,Diffuse Glioma
PXA,G34 Mutant,Diffuse Glioma,Diffuse Glioma
PA,PA,PXA,PA
CNS,IDH Mutant,CNS,CNS
IDH Mutant,CNS,CNS,CNS
IDH Mutant,IDH Mutant,Diffuse Glioma,CNS
Diffuse Glioma,IDH Mutant,IDH Mutant,IDH Mutant
Diffuse Glioma,PFA,IDH Mutant,PFA
Diffuse Glioma,IDH Mutant,IDH Mutant,IDH Mutant
Diffuse Glioma,Diffuse Glioma,IDH Mutant,IDH Mutant
IDH Mutant,IDH Mutant,IDH Mutant,CNS
PFA,PFA,IDH Mutant,PFA
